	introduzione_gulpease_index	avv_prec_inter_gulpease_index	dosaggio_gulpease_index	effetti_indesiderati_gulpease_index
0	35.8	40.6	55.0	35.8
1	42.5	40.2	48.3	28.1
2	41.6	46.1	69.7	36.5
3	47.8	41.8	61.4	45.1
4	42.1	46.4	49.4	39.7
5	49.7	46.3	49.3	33.3
6	51.7	51.3	56.0	29.7
7	47.9	45.9	53.0	32.1
8	46.2	38.2	62.1	38.0
9	39.4	50.5	56.6	41.8
10	31.0	33.0	63.2	27.8
11	44.9	41.1	54.7	15.7
12	40.0	39.0	50.6	27.5
13	33.4	38.2	35.8	42.8
14	35.6	42.0	56.5	41.3
15	47.9	46.2	47.5	49.9
16	43.0	37.1	51.7	32.0
17	49.6	51.9	44.8	31.6
18	50.4	42.0	60.4	42.9
19	42.2	42.3	41.3	37.4
20	45.8	39.0	52.7	50.3
21	32.3	42.5	49.0	33.3
22	25.2	35.1	51.5	33.6
23	37.8	51.5	46.6	31.8
24	40.7	43.3	52.7	21.7
25	51.1	39.3	59.9	33.3
26	45.8	45.1	56.1	40.3
27	67.3	46.5	63.9	40.7
28	43.3	28.9	49.6	36.2
29	44.1	49.3	44.9	34.0
30	50.5	40.9	51.7	33.0
31	35.4	40.1	47.7	37.2
32	44.8	31.2	45.9	32.6
33	42.8	40.0	50.7	37.1
34	47.5	46.5	59.0	36.6
35	47.5	38.8	51.2	30.4
36	37.4	43.8	44.9	70.4
37	55.7	42.7	46.7	42.3
38	30.3	42.3	53.9	42.2
39	29.9	32.1	47.4	35.2
40	46.7	54.0	53.1	29.9
41	30.0	37.9	48.0	33.6
42	53.7	48.3	56.0	43.0
43	33.4	39.6	43.8	33.2
44	64.4	43.0	52.4	52.3
45	49.3	40.8	57.3	31.4
46	30.3	37.0	60.6	30.8
47	41.6	43.7	64.3	47.8
48	41.7	40.1	53.7	40.3
49	42.0	46.1	48.4	26.3
50	31.9	58.2	61.6	25.8
51	57.7	37.1	45.0	37.2
52	45.0	47.0	43.5	34.3
53	68.8	39.7	45.6	32.3
54	47.6	42.2	39.7	29.8
55	44.4	44.0	51.5	51.6
56	48.2	38.0	54.6	34.4
57	33.1	31.2	61.7	27.0
58	34.1	32.8	51.5	27.6
59	42.9	44.0	64.9	29.8
60	43.8	46.7	54.2	31.6
61	36.4	39.4	44.3	69.3
62	45.8	51.5	49.0	36.9
63	51.0	44.9	58.1	40.3
64	59.0	35.8	53.7	37.2
65	57.3	40.1	55.6	38.7
66	73.1	48.1	56.5	27.7
67	51.7	39.4	52.1	27.5
68	63.9	46.5	59.3	38.7
69	15.3	32.4	52.8	45.0
70	36.6	35.4	47.0	27.3
71	38.0	40.8	54.3	37.4
72	49.2	36.7	39.7	24.7
73	30.3	30.9	42.9	23.2
74	46.2	52.0	54.9	31.2
75	41.2	39.5	59.2	33.2
76	38.6	41.4	48.5	34.9
77	46.5	39.9	57.4	42.5
78	35.2	36.3	54.5	29.1
79	50.8	40.7	61.0	29.5
80	45.7	49.5	53.9	49.5
81	47.3	43.8	67.5	48.8
82	44.1	43.8	55.3	45.7
83	48.6	41.5	56.8	34.5
84	45.7	44.6	51.0	37.6
85	55.8	53.1	53.6	45.7
86	57.7	41.9	53.5	40.1
87	45.8	42.0	49.4	43.1
88	48.4	51.4	50.3	47.1
89	37.5	41.0	72.8	40.6
90	67.3	39.2	49.5	33.6
91	33.4	39.7	53.9	28.0
92	50.1	48.9	49.2	43.3
93	49.6	34.9	57.3	31.7
94	41.9	36.9	50.2	30.8
95	32.2	36.3	56.1	26.3
96	47.5	46.2	57.3	34.9
97	39.9	35.4	47.0	28.7
98	45.8	48.2	58.2	34.6
99	48.5	39.1	57.0	31.3
100	41.7	44.0	38.0	42.0
101	54.5	51.2	42.5	37.2
102	39.1	43.2	58.5	45.2
103	38.2	41.9	58.4	42.7
104	31.2	40.7	51.3	24.5
105	30.5	38.9	34.7	38.9
106	51.2	37.4	51.9	30.2
107	48.2	38.8	50.9	39.6
108	44.1	37.1	56.1	32.9
109	37.2	42.5	61.2	32.2
110	36.3	40.9	54.5	69.3
111	55.1	36.0	37.3	37.9
112	52.6	39.6	60.7	37.3
113	33.7	36.2	38.4	27.5
114	39.6	41.1	55.3	53.3
115	47.2	36.6	55.2	31.3
116	36.1	39.3	44.4	26.6
117	25.3	43.9	59.8	32.1
118	38.3	41.5	49.4	31.3
119	37.4	45.4	49.9	29.5
120	37.0	42.9	56.8	35.5
121	54.5	45.5	55.9	37.2
122	49.0	47.6	49.7	31.3
123	70.4	54.3	53.7	26.9
124	25.6	37.3	57.4	25.7
125	30.9	38.6	43.0	33.8
126	42.9	38.2	56.5	39.6
127	39.7	39.4	51.6	28.1
128	49.3	43.3	57.0	45.4
129	38.2	51.9	50.3	34.9
130	46.1	40.4	59.2	32.8
131	46.0	37.2	50.7	27.5
132	42.1	41.8	54.9	42.7
133	41.7	37.8	56.6	43.7
134	32.4	36.1	34.6	36.0
135	28.5	41.6	45.0	30.8
136	50.1	43.8	50.4	66.3
137	36.8	40.3	51.2	31.0
138	36.0	45.1	51.5	32.9
139	39.3	41.8	47.9	32.2
140	46.1	42.3	50.5	44.6
141	39.0	33.7	65.6	38.8
142	40.9	34.9	43.1	29.4
143	35.7	33.5	45.2	26.5
144	39.3	35.4	43.4	33.0
145	41.8	34.8	41.4	31.8
146	34.8	37.7	44.2	30.8
147	46.1	34.2	57.9	35.2
148	44.4	37.3	54.1	35.0
149	44.7	36.6	46.9	49.4
150	40.2	37.1	44.9	23.1
151	50.3	39.8	51.3	73.5
152	45.9	38.2	61.4	36.0
153	47.7	44.3	56.6	36.0
154	41.6	42.0	68.0	35.9
155	40.9	40.7	44.1	37.6
156	40.0	29.0	55.3	31.2
157	48.6	49.6	60.9	34.5
158	41.8	44.4	50.0	33.2
159	59.0	43.1	51.8	25.7
160	26.6	56.1	41.0	24.7
161	30.3	47.0	54.6	59.6
162	27.0	35.7	47.8	35.9
163	27.0	36.5	40.8	34.4
164	26.3	45.0	41.4	24.8
165	30.4	44.5	49.2	38.9
166	36.3	45.6	61.2	25.8
167	38.7	32.7	55.5	30.1
168	56.7	42.2	53.1	29.6
169	25.8	31.2	58.4	31.3
170	34.1	40.7	46.6	32.9
171	31.3	35.4	45.7	30.2
172	36.9	52.3	51.1	25.7
173	47.2	51.7	59.4	45.5
174	54.5	51.4	44.5	37.7
175	44.8	46.1	50.4	30.9
176	47.4	38.9	54.7	48.8
177	44.4	42.4	51.1	27.5
178	56.9	49.0	52.2	55.5
179	40.3	46.7	58.3	42.5
180	39.5	35.4	58.7	25.9
181	47.3	38.9	54.4	25.4
182	26.7	35.7	45.9	35.4
183	35.8	34.0	52.8	70.7
184	48.9	43.0	50.1	43.3
185	37.3	43.9	49.5	46.5
186	46.0	56.0	46.2	41.9
187	38.8	51.1	56.8	38.3
188	49.6	46.7	58.1	54.4
189	40.8	35.5	58.0	35.7
190	46.7	37.7	52.9	33.5
191	51.8	46.8	46.6	48.7
192	27.5	35.5	39.7	25.6
193	41.0	41.5	51.5	30.3
194	53.1	40.4	54.8	29.4
195	39.7	39.8	48.4	31.7
196	24.6	33.5	48.6	24.1
197	41.2	41.7	50.1	68.8
198	41.1	43.6	46.5	44.5
199	30.4	50.6	39.4	30.4
200	35.5	45.6	54.3	26.8
201	76.8	45.5	43.9	28.0
202	46.7	49.3	55.8	33.4
203	44.4	37.2	58.2	28.9
204	46.5	41.2	62.5	29.2
205	51.7	44.7	54.3	37.2
206	43.0	53.2	34.7	46.4
207	34.8	45.2	48.9	32.5
208	54.9	44.2	51.9	45.9
209	44.0	43.5	53.9	47.1
210	53.6	55.6	56.3	50.2
211	33.2	40.1	44.2	40.2
212	52.1	44.3	44.5	44.9
